Foundation,Communities,FormalName,Location,Region
Stamford Friars of the Sack,"Friars of the Sackfounded before 1274;dissolved 1300;
Austin Friars Friary founded here",,52°39′00″N 0°29′10″W﻿ / ﻿52.6500700°N 0.4861700°W﻿ / 52.6500700; -0.4861700﻿ (Stamford Friars of the Sack),Lincolnshire
Stamford Hall,Gilbertine Canonsfounded 1292;dissolved c.1334;,,,Lincolnshire
Stamford Greyfriars,"Franciscan Friars Minor, Conventual (under the Custody of Oxford)founded before 1230: Henry III granted fuel January 1230;dissolved 8 October 1538",,52°39′18″N 0°28′13″W﻿ / ﻿52.6549036°N 0.4701725°W﻿ / 52.6549036; -0.4701725﻿ (Stamford Greyfriars),Lincolnshire
Stamford Whitefriars,Carmelite Friarsfounded before 1268;dissolved 8 October 1538,,52°39′14″N 0°28′17″W﻿ / ﻿52.653833°N 0.4714036°W﻿ / 52.653833; -0.4714036﻿ (Stamford Whitefriars),Lincolnshire
Stamford Monastery,"Saxon monksfounded 658(?);destroyed in raids by the Danes 9th century;
Benedictine priory built on site (see immediately below)",,52°39′10″N 0°27′57″W﻿ / ﻿52.6527769°N 0.4657951°W﻿ / 52.6527769; -0.4657951﻿ (Stamford — St Leonard's Priory),Lincolnshire
Stamford — St Leonard's Priory,"Benedictine monks
cell dependent on Durham;founded after 1083 by William, Abbot of Peterborough on site of a Saxon monastery (see immediately above);dissolved 1538; granted to Richard Cecil 1540/1",Stanford Priory,52°39′10″N 0°27′57″W﻿ / ﻿52.6527769°N 0.4657951°W﻿ / 52.6527769; -0.4657951﻿ (Stamford — St Leonard's Priory),Lincolnshire
Stixwould Priory $,"Cistercian nunsfounded c.1135 (c.1131) (early in the reign of Stephen or late in the reign of Henry I) by Lucy, dowager Countess of Chester;
with regular priests or brethren from 12th century to after 1308;Benedictine nuns — from Stainfieldrefounded
house disclaimed by Cistercian General Chapter 1268;
also given as Gilbertine Canons and Canonesses
?before 1308;dissolved 1536;Benedictine nunsrefounded 1536;Premonstratensian Canonessesrefounded 1537;dissolved 1537-9;granted to Robert Dighton 1540/1;
remains comprise earthworks",Stykeswold Priory,53°10′43″N 0°14′50″W﻿ / ﻿53.1786542°N 0.247356°W﻿ / 53.1786542; -0.247356﻿ (Stixwould Priory),Lincolnshire
Stow Monastery,"Saxon monks — secular collegefounded before 1016 (c.975 in the time of Bishop Aelfnoth) or c.1005 by Eadnoth, Bishop of Dorchester, granted by Earl Leofric and Godiva 1055-7;
ceased at the Conquest, 1066 (1067);
Benedictine abbey built on site (see immediately below)",,53°19′39″N 0°40′38″W﻿ / ﻿53.3276116°N 0.6773114°W﻿ / 53.3276116; -0.6773114﻿ (Stow Abbey),Lincolnshire
Stow Abbey,"Benedictine monks
community founded at Eynsham, Oxfordshire 1005)transferred here 1091;founded 1091, on the site of Saxon monastery (see immediately above);transferred to Eynsham c.1094/5 (1109?);
conventual church in parochial use from c.1094/5",The Abbey Church of Saint Mary,53°19′39″N 0°40′38″W﻿ / ﻿53.3276116°N 0.6773114°W﻿ / 53.3276116; -0.6773114﻿ (Stow Abbey),Lincolnshire
"St Æthelreda's nunnery, Stow Green",Anglo-Saxon royal foundation at Stow Green 7th to 9th century,St Æthelthryth,52°53′56″N 0°22′01″W﻿ / ﻿52.899°N 0.367°W﻿ / 52.899; -0.367﻿ (St Æthelreda's Nunnery),Lincolnshire
Swineshead Abbey,"Savignac monksdaughter of Furness;founded 1 February 1135 by Robert de Gresley (Griesley);Cistercian monks
orders merged 17 September 1147;dissolved 1536; granted to Edward, Lord Clinton 1552/3;
farmhouse built on site by John Lockton, incorporating monastic remains","St Mary
____________________Swinshed Abbey",52°56′52″N 0°08′30″W﻿ / ﻿52.947804°N 0.1417816°W﻿ / 52.947804; -0.1417816﻿ (Swineshead Abbey),Lincolnshire
Temple Bruer Preceptory,"Knights Templarfounded before 1185 by William of Ashby;dissolved 1308-12;Knights Hospitallertransferred c.1312;dissolved 1540-1; granted to Charles, Duke of Suffolk 1541/2",,53°04′16″N 0°29′46″W﻿ / ﻿53.0710642°N 0.4961577°W﻿ / 53.0710642; -0.4961577﻿ (Temple Bruer Preceptory),Lincolnshire
Thornholme Priory,Augustinian Canons Regularfounded by King Stephen;dissolved 1536,"The Priory Church of the Blessed Virgin Mary, Thornholme
____________________Thornholm Priory",53°36′01″N 0°32′34″W﻿ / ﻿53.6002315°N 0.5426806°W﻿ / 53.6002315; -0.5426806﻿ (Thornholme Priory),Lincolnshire
Thornton Abbey,"Augustinian Canons Regular
priory founded 1139 by William le Gros, Count of Albermarle and Lord of Holderness;
raised to abbey status 1148dissolved 12 December 1539refounded as secular priests' college
suppressed by Edward VI 1547;demolished by Sir Vincent Skinner after 1602;
stately home built on site by Skinner collapsed reportedly c.1611; (EH)","The Abbey Church of the Blessed Virgin Mary, Thornton
____________________Thornton-upn-the-Humber Abbey",53°39′18″N 0°18′35″W﻿ / ﻿53.6550542°N 0.3098488°W﻿ / 53.6550542; -0.3098488﻿ (Thornton Abbey),Lincolnshire
"Threekingham Nunnery, Tricengeham?","Saxon nunsfounded c.680 by St Werburgh;(formerly identified as Trentham, Staffordshire)destroyed in raids by the Danes c.870",Threckingham Nunnery,,Lincolnshire
Throckenholt Priory,"hermitage and chapelBenedictine monks
cell dependent on Thorney;founded 1154-69 (during the reign of Henry I), granted to Thorney by Nigel, Bishop of Ely;dissolved 1190",Trockenholt Priory,52°39′52″N 0°00′48″E﻿ / ﻿52.664577°N 0.0132903°E﻿ / 52.664577; 0.0132903﻿ (Throckenholt Priory),Lincolnshire
Thwaite Priory ^,"Augustinian Canons Regular
cell dependent on Thornton;founded before 1440;dissolved before 1536(?);
incorporated into 18th century cottage named 'Thwaite Hall'",,53°12′20″N 0°11′31″E﻿ / ﻿53.2056341°N 0.1919979°E﻿ / 53.2056341; 0.1919979﻿ (Thwaite Priory),Lincolnshire
Torksey Priory #,"Augustinian Canons Regularfounded possibly by Henry II, who granted privileges, or by King John;dissolved 1536; granted to Sir Philip Hobby 1544/5","The Priory Church of Saint Leonard, Torksey
____________________St Leonard's Priory;Torkesey Priory",53°18′03″N 0°44′41″W﻿ / ﻿53.300891°N 0.744771°W﻿ / 53.300891; -0.744771﻿ (Torksey Priory),Lincolnshire
Tunstall Priory,"Gilbertine Canons (and Canonesses?) — possible double housefounded before 1164 (during the reign of Stephen) by Reginald de Crevequer;
united to Bullington by his son William before 1189","St Mary
____________________Redbourne Priory","(not known precisely):53°29′16″N 0°32′22″W﻿ / ﻿53.4877838°N 0.5395424°W﻿ / 53.4877838; -0.5395424﻿ (Tunstall Priory (poss. site))53°29′09″N 0°29′32″W﻿ / ﻿53.4858°N 0.49215°W﻿ / 53.4858; -0.49215﻿ (Tunstall Priory (poss. site))
(53°29′22″N 0°29′48″W﻿ / ﻿53.4895042°N 0.4966217°W﻿ / 53.4895042; -0.4966217﻿ (Tunstall Priory (alt. suggested)) (alternative suggested))",Lincolnshire
Tupholme Abbey,"Premonstratensian Canonsdaughter of Newsham;founded 1155-6 by Alan de Neville and Gibert, his brother;dissolved 1536",The Blessed Virgin Mary,53°11′55″N 0°17′19″W﻿ / ﻿53.1985552°N 0.288595°W﻿ / 53.1985552; -0.288595﻿ (Tupholme Abbey),Lincolnshire
Vaudey Abbey,"Cistercian monks — from Bythamdaughter of Fountains, Yorkshire;founded 23 May 1147 by William, Earl of Albermarle (after 1149: land granted by Geoffrey de Brachecurt and Gilbert de Gant, Earl of Lincoln);dissolved 1536; granted to Charles, Duke of Suffolk 1538/9",,52°46′51″N 0°27′50″W﻿ / ﻿52.7809168°N 0.4639524°W﻿ / 52.7809168; -0.4639524﻿ (Vaudey Abbey),Lincolnshire
West Ravendale Priory,"Premonstratensian Canonsalien house: dependent on Beauport, Brittany;founded c.1202: chapel etc. granted by Alan fitz Henry, Count of Brittany;dissolved 1389 (before 1413);
lands granted to Joan, consort of Henry IV 1413; granted to Southwell Collegiate Church 1452",,53°28′46″N 0°09′11″W﻿ / ﻿53.4793806°N 0.1531407°W﻿ / 53.4793806; -0.1531407﻿ (West Ravendale Priory),Lincolnshire
Whaplode Friary,"Crutched Friarsfounded 1244-7(?);
incited after 1238?;abandoned 1260",,52°45′09″N 0°02′44″W﻿ / ﻿52.752516°N 0.0455922°W﻿ / 52.752516; -0.0455922﻿ (Whaplode Friary),Lincolnshire
Willoughton Priory[dubious – discuss],"Benedictine monksalien house: (?)grange dependent on St Nicholas, Angers;founded before 1148: land granted to St Nicholas, Angers by Empress Matilda;dissolved 1403; granted to King's College, Cambridge",Willowton Priory,53°25′37″N 0°35′52″W﻿ / ﻿53.4269996°N 0.5979046°W﻿ / 53.4269996; -0.5979046﻿ (Willoughton Priory),Lincolnshire
Willoughton Preceptory,Knights Templarfounded after 1135 (during the reign of Stephen) by Roger de Builli (Buslei);dissolved 1308-12;Knights Hospitallertransferred after 1312;dissolved 1540; granted to John Cock and John Thurgood 1345/6,Willowton PreceptoryWilketone Preceptory,53°25′40″N 0°36′19″W﻿ / ﻿53.4278506°N 0.6053638°W﻿ / 53.4278506; -0.6053638﻿ (Willoughton Preceptory),Lincolnshire
Wilsford Priory #,"Benedictine monksalien house: cell dependent on Bec-Hellouin and the priory of Envermeu;founded between 1135 and 1154 (during the reign of Stephen) by Hugh de Evermue (Evremewe)granted to Bourne c.1401;Augustinian Canons Regular — Arroasianrefounded c.1401;dissolved 1536; granted to Charles, Duke of Suffolk 1538/9",Willesford Priory,52°57′58″N 0°30′45″W﻿ / ﻿52.9660593°N 0.512538°W﻿ / 52.9660593; -0.512538﻿ (Wilsford Priory),Lincolnshire
Winghale Priory,"Benedictine monksalien house: (?)grange dependent on Séez;founded before 1115;dissolved 1400; granted to a secular clerk;granted to Trinity College, Cambridge",Wenghale Priory,53°27′26″N 0°27′04″W﻿ / ﻿53.4571954°N 0.451169°W﻿ / 53.4571954; -0.451169﻿ (Winghale Priory),Lincolnshire
Witham Preceptory,"Knights Templarfounded before 1164 by Margaret de Perci, Ubert de Ria and others;dissolved 1308-12;Knights Hospitallertransferred 1312;
merged with Temple Bruer",South Witham Preceptory,52°46′27″N 0°37′30″W﻿ / ﻿52.7742353°N 0.6251264°W﻿ / 52.7742353; -0.6251264﻿ (Witham Preceptory),Lincolnshire
Aldgate Priory,"Augustinian Canons Regularfounded 1107-8 by Queen Maud;
conventual church rebuilt 1339 onwards;
dilapidated since 1532;dissolved 1534; granted to Sir Thomas Audley, Speaker of the House of Commons 1531/2;
largely demolished thereafter","Christchurch, Aldgate",51°30′49″N 0°04′41″W﻿ / ﻿51.5136°N 0.0780°W﻿ / 51.5136; -0.0780﻿ (Aldgate — Holy Trinity Priory),London
Aldgate Abbey,"Franciscan nunsfounded 1293-4 by Edmund, Earl of Lancaster, confirmed by his brother Edward I;dissolved March 1539;","The Abbey Church of the Grace of the Blessed Virgin Mary and Saint Francis, without Aldgate
____________________The Minories, London;Holy Trinity, Minories","51°30′41″N 0°04′29″W﻿ / ﻿51.5115°N 0.0746°W﻿ / 51.5115; -0.0746﻿ (Aldgate Abbey (Holy Trinity, Minories))",London
Barking Abbey,"Benedictine? nuns and monks — double housefounded c.666 by St Erkenwald son of Anna, King of the East Angles;destroyed in raids by the Danes 870;refounded 946-951Benedictine nunsrefounded 965-75 by King Edgar and St Dunstandissolved 14 November 1539; granted to Edward, Lord Clinton 1551/2","St Mary
St Mary and St Ethelburgha
____________________Berking Abbey;Bedenham Abbey",51°32′8″N 0°4′31″E﻿ / ﻿51.53556°N 0.07528°E﻿ / 51.53556; 0.07528﻿ (Barking Abbey),London
Bentley Priory,"Augustinian Canons Regularfounded 1171 by Ranulf de Glanville;dissolved before 1532;
house named 'The Priory' possibly built on site: formerly in use as a girls' school, then a hotel;
now in ownership of R.A.F. Bentley Priory","The Priory Church of Saint Mary Magdalen, Bentley",51°37′12″N 0°20′16″W﻿ / ﻿51.62°N 0.3377974°W﻿ / 51.62; -0.3377974﻿ (Bentley Priory),London
Bermondsey Minster,"Saxon monasteryfounded not earlier than under Pope Constantine I (708-715)[note 1]
nothing further known about its history — possibly destroyed in raids by the Danes 9th century and succeeded by a new minster at Southwark",,51°29′39″N 0°04′16″W﻿ / ﻿51.4940828°N 0.0710893°W﻿ / 51.4940828; -0.0710893﻿ (Bermondsey Minster),London
Bermondsey Abbey,"Cluniac monksalien house: dependent on La Charité;
priory founded 1082 by Alvin (Aylwin) Child, citizen of London (first monks arrived 1089);
became denizen: independent from 1381;
raised to abbey status 1399 by order of the Pope;dissolved 1 January 1538; granted to Sir Richard Southwell 1541/2; and demolished soon after",St Saviour,51°29′49″N 0°04′47″W﻿ / ﻿51.4969099°N 0.0796375°W﻿ / 51.4969099; -0.0796375﻿ (Bermondsey Abbey),London
Brockley Abbey,"Premonstratensian Canonsdaughter of Sulby, Northamptonshire;founded before 1182 by Countess Juliana and her seneschal Michael of Thornham;dissolved 1199-1208;transferred to Bayham, (East) Sussex c.1180","The Abbey Church of the Blessed Virgin Mary, Brockley",51°27′55″N 0°01′47″W﻿ / ﻿51.4653443°N 0.0298584°W﻿ / 51.4653443; -0.0298584﻿ (Brockley Abbey),London
Bromley-by-Bow Priory,Benedictine nunsfounded before 1122;dissolved 1536,Bromley Priory;Stratford-at-Bow Priory;Stratford-by-Bow Priory,51°31′42″N 0°00′46″W﻿ / ﻿51.5282668°N 0.0128612°W﻿ / 51.5282668; -0.0128612﻿ (Bromley-by-Bow Priory (Stratford-at-Bow Priory)),London
Clerkenwell Preceptory,"Knights Hospitallerfounded c.1144 (or c.1100 by Jordan Briset, Baron, and his wife Muriel[note 2]);dissolved 1540; the tower was blown up by Protector Somerset, much of the material used to build Somerset House",St John's Clerkenwell,51°31′21″N 0°06′11″W﻿ / ﻿51.5225262°N 0.1030988°W﻿ / 51.5225262; -0.1030988﻿ (Clerkenwell Preceptory),London
Clerkenwell Priory,"Augustinian Canonessesfounded 1100 by Robert, Priest, or c.1144 by Jordan FitzRalph (Briset);
also given as Benedictine nunsdissolved c.1539; granted to Walter Hanley and John Williams, Knight 1545/6","The Priory Church of Saint Mary de Fonte
The Priory Church of Saint Mary of the Assumption",51°31′26″N 0°06′24″W﻿ / ﻿51.5238813°N 0.1066393°W﻿ / 51.5238813; -0.1066393﻿ (Clerkenwell Priory),London
Ealing Abbey *,"Benedictine monks — from Downside, Somersetfounded 1897;
priory 1916;
raised to abbey status 1955; extant","The Abbey Church of Saint Benedict, Ealing",51°31′11″N 0°18′32″W﻿ / ﻿51.5198192°N 0.3089583°W﻿ / 51.5198192; -0.3089583﻿ (Ealing Abbey),London
Eastminster Abbey,"Cistercian monksdaughter of Beaulieu, Hampshire;founded 20 March 1350 by Edward III;dissolved 1538; granted to Sir Arthur Darcy 1542/3",New Abbey;The Abbey of St Mary de Graciis;St Mary Graces Abbey,51°30′33″N 0°04′19″W﻿ / ﻿51.5092967°N 0.0720549°W﻿ / 51.5092967; -0.0720549﻿ (Eastminster Abbey (St Mary Graces Abbey)),London
Elsing Spital Priory,"secular college
(community founded at London within Cripplegate before 1329)transferred here: founded 1329 by William Elsing;nuns
conventual hospitalfounded 1331;
chapel for priory and hospital built 1332;Augustinian Canons Regular
conventual hospital;founded 1340; granted to John Williams, Master of the King's Jewels 1539/40;destroyed by fire 24 December 1539/40;
priory church in parochial use from dissolution;demolished 1923","Elsing Spittle Priory;Priory and Hospital of St Mary-within-CripplegateChurch of St Alphage, London Wall",51°31′03″N 0°05′34″W﻿ / ﻿51.5176286°N 0.0928742°W﻿ / 51.5176286; -0.0928742﻿ (Elsing Spital Priory),London
Feltham Priory,Anglican Benedictine nunsfounded 24 June 1868 by Father Ignatius;transferred to Twickenham,"SS Mary and Scholastica
____________________Feltham Nunnery",,London
Greenwich Blackfriars,Dominican Friarsfounded 1376 by Edward III and Sir John Norbury;dissolved; refounded by Queen Mary;dissolved by Elizabeth I,,,London
Greenwich Greyfriars #,"Observant Franciscan Friarsfounded 1482: permission granted by the Pope to Edward IV, established 1485;
suppressed for rejection of papal authority 1534;Franciscan Friars Minor, Conventual (under the Custody of London)refounded 1534;dissolved 1538;Observant Franciscan Friarsrefounded 1555;dissolved 1559;demolished;
north-west wing of hospital currently stands on site",,51°28′59″N 0°00′23″W﻿ / ﻿51.4831602°N 0.0065017°W﻿ / 51.4831602; -0.0065017﻿ (Greenwich Greyfriars),London
Haliwell Priory,"Augustinian Canonessesfounded before 1127 (before 1150(?)) by Robert fitz Gelran (Fitzmore), canon of St Paul's; benefacted by Richard Belmeis, Bishop of London;
also given as Benedictine nunsdissolved c.1539; granted to William Webb 1544/5","The Priory Church of Saint John the Baptist, Holywell
____________________Holywell Priory;Holywell Nunnery, Shorditch",51°31′26″N 0°04′44″W﻿ / ﻿51.5239615°N 0.07892°W﻿ / 51.5239615; -0.07892﻿ (Haliwell Priory),London
Hampton Cell,"Sisters of St John of Jerusalemfounded before 1180;transferred to Sisters of St John Priory, Buckland, Somerset c.1180",,51°24′31″N 0°21′44″W﻿ / ﻿51.4085891°N 0.3623021°W﻿ / 51.4085891; -0.3623021﻿ (Hampton Cell),London
Hampton Preceptory,"Knights Hospitallerfounded before 1180(?);
manor procured by Hospitallers 1237; referred to as a camera 1338[note 3];
later guest house; leased out 1505;dissolved 1338;
lands were leased to the royal courtier Giles Daubeney 1494, who built private house; demolished 1514;
99-year lease obtained from the Hospitallers by Wolsey June 1514;Hampton Court built on site",,51°24′13″N 0°20′16″W﻿ / ﻿51.403486°N 0.3377008°W﻿ / 51.403486; -0.3377008﻿ (Hampton Preceptory),London
Harmondsworth Priory,"Benedictine monksalien house: cell(?) dependent on St-Catherine-du-Mont, Rouen;founded between 1066 and 1087 (during the reign of William the Conqueror);dissolved ?before 1391; granted to Winchester College;granted to Sir William Paget 1547/8",,51°29′21″N 0°28′53″W﻿ / ﻿51.4891462°N 0.4812607°W﻿ / 51.4891462; -0.4812607﻿ (Harmondsworth Priory),London
Hornchurch Hospital (?)and Priory +,"alien house: cell dependent on the Hospice of St Bernard Montjoux (St Bernard, Monte Jovis) in Savoy;founded probably early-1159 by Henry II;dissolved November 1390; granted to New College, Oxford 1391;
site now occupied by St. Andrews C.E. parish church","The Priory Church of Saint Nicholas and Saint Bernard, Hornchurch
____________________Monasterium Cornutum;Havering Priory",51°33′38″N 0°13′34″E﻿ / ﻿51.560491°N 0.2262282°E﻿ / 51.560491; 0.2262282﻿ (Hornchurch (?)Priory),London
Hounslow Priory,"hospitalfounded before 1200;Trinitariansfounded after 1224 (possibly 1252);dissolved 1538; granted to William, Lord Windsor;
Parish Church of the Holy Trinity built on site 1828","The Holy Trinity
____________________Hounslow Friary",51°28′07″N 0°21′50″W﻿ / ﻿51.4686126°N 0.3638363°W﻿ / 51.4686126; -0.3638363﻿ (Hounslow Priory),London
Kilburn Priory,"anchoresses cellfounded before/c.1130;Benedictine nunsfounded 1139 (during the reign of Henry I) by the Convent of Westminster;
possibly Augustinian Canonesses during existence — but began and ended as Benedictine;dissolved 1537 (1536); granted to John, Earl of Warwick 1547/8",Kylburn Nunnery,51°32′28″N 0°11′56″W﻿ / ﻿51.5410663°N 0.198922°W﻿ / 51.5410663; -0.198922﻿ (Kilburn Priory),London
Lesnes Abbey,"Augustinian Canons Regular — Arrouasianfounded June 1178 by Richard de Luci, Justiciar of England;dissolved 1525; granted to Cardinal Wolsey's college at Oxford; granted to Sir Ralph Sadler 1536/7","The Abbey Church of Saint Thomas the Martyr, Lesnes
____________________Westwood Abbey",51°29′20″N 0°07′44″E﻿ / ﻿51.4887588°N 0.1289284°E﻿ / 51.4887588; 0.1289284﻿ (Lesnes Abbey),London
Lewisham Priory,"Benedictine monksalien house: cell dependent on St Peter, Gent;founded 11 September 918: granted by Elstrudis, Countess of Flanders and her sons Arnulf and Adelulf, confirmed by King Edgar August 964;
confiscated and destroyed;restored 1044 by Edward the Confessor;dissolved 1414; granted to the Carthusians at Sheen by Henry V 1415",,51°27′26″N 0°00′54″W﻿ / ﻿51.4571549°N 0.0151062°W﻿ / 51.4571549; -0.0151062﻿ (Lewisham Priory),London
London Areno Friars,"Friars of St Mary de Arenofounded 1267 by William Arnand, a knight of Henry III;
ceased 1317 with the death of the last brother, Hugh of York (appears to be the same establishment as the London Pied Friars and Westminster Pied Friars)",,,London
London Austin Friars,"Augustinian Friarsfounded 1253 by Humphrey Bohun, Earl of Hereford and Essex;dissolved 1538; granted to John a Losco 1550, who founded preaching house for congregation of Walloon refugees;
nave used as church, quire, transepts and tower demolished 1600;
church destroyed by fire 1862; rebuilt 1863;
bombed in 1940 during World War II;rebuilt 1950-6 as the Dutch Church, Austin Friars",,51°30′56″N 0°05′08″W﻿ / ﻿51.5154763°N 0.0856751°W﻿ / 51.5154763; -0.0856751﻿ (London Austin Friars),London
"London Charterhouse ^, Charterhouse Square","secular college intended 1348; chapel built; founded by Sir Walter de Manny;Carthusian monksfounded 1371;dissolved 1537; granted to Sir Thomas Audley 1544/5;
almshouse and Charterhouse School founded by Thomas Sutton on the site 1622; which transferred to Godalming 1872; and that part of the site is now research facilities for the Barts and The London medical school",House of the Salutation of the Mother of God,51°31′17″N 0°05′59″W﻿ / ﻿51.52139°N 0.09972°W﻿ / 51.52139; -0.09972﻿ (London Charterhouse),London
"London, Cornhill Greyfriars","Franciscan Friars Minor, Conventual (under the Custody of London)founded 1224: hired a house here after living for a number of days with the Dominicans at Holborn upon arriving in London;transferred to Newgate 1225",,51°30′57″N 0°05′58″W﻿ / ﻿51.5157701°N 0.0994724°W﻿ / 51.5157701; -0.0994724﻿ (London Cornhill Greyfriars),London
London Crutched Friars,Crutched Friarsfounded before 1269;dissolved 1538,,51°30′39″N 0°04′42″W﻿ / ﻿51.5108325°N 0.0783473°W﻿ / 51.5108325; -0.0783473﻿ (London Crutched Friars),London
"London, Friars of the Sack, Aldersgate",Friars of the Sackfounded 1257;transferred to Lothbury (see immediately below) before 1271-2,,,London
"London, Friars of the Sack, Lothbury","Friars of the Sack
(community founded at Aldersgate (see immediately above) 1257);transferred here before 1271-1;abandoned 1305; chapel became a chantry",,,London
"London, Holborn Blackfriars",Dominican Friarsfounded before 1224 (probably 1221);transferred to Ludgate (see immediately below) after 1275,Monumenta Conventus Londinensis,,London
"London, Ludgate Blackfriars","Dominican Friars
(community founded at Holborn (see immediately above) before 1224 (probably 1221))transferred here after 1275;dissolved 12 November 1538;
briefly refounded under Queen Mary at Smithfield",,"51°30′44″N 0°06′11″W﻿ / ﻿51.5122848°N 0.1031202°W﻿ / 51.5122848; -0.1031202﻿ (London, Ludgate Blackfriars)",London
"London, Newgate Greyfriars","Franciscan Friars (under the Custody of London)
(community founded at Cornhill 1224);transferred here 1225: John Iwyn, citizen of London, allowed them the use of land and property;
school founded
church completed 1327;dissolved 12 November 1538;granted to the City of London 1546/7; reused as Christ Hospital",,"51°30′58″N 0°06′00″W﻿ / ﻿51.5162174°N 0.1000196°W﻿ / 51.5162174; -0.1000196﻿ (London, Newgate Greyfriars)",London
"London, New Temple +","Knights Templar
(community founded at earlier site (see immediately below) 1121);transferred here 1161;dissolved 1308-12;Knights Hospitallertransferred 1324;
part leased to lawyers for use as a hostel;dissolved after 1540;
leased to the Benches of the Inner and Middle Temple by James I 1609;
restorations 19th century;
church severely damaged in World War II in 1941;restored 1947-57",,51°30′48″N 0°06′38″W﻿ / ﻿51.5132029°N 0.1104856°W﻿ / 51.5132029; -0.1104856﻿ (Temple Church),London
"London, Old Temple",Knights Templarfounded 1121;transferred to new site (see immediately above) 1161,Camden Preceptory,51°31′04″N 0°06′45″W﻿ / ﻿51.5177621°N 0.1126313°W﻿ / 51.5177621; -0.1126313﻿ (Old Temple (Camden Preceptory)),London
London Pied Friars,"Pied Friars(appears to be the same as London Areno Friars, and Westminster Pied Friars)",,,London
London — St Dominic's Priory,"Dominican Friars
opened 1867, church completed 1882","The Priory of Our Holy Father St Dominic
Our Lady of the Rosary and Saint Dominic","51°33′03″N 0°09′26″W﻿ / ﻿51.5507484°N 0.1572311°W﻿ / 51.5507484; -0.1572311﻿ (London, St Dominic's Priory)",London
"London — St Helen's, Bishopsgate +","Benedictine nunsfounded before 1216 by William fitz William(s), goldsmith;dissolved 25 November 1538; granted to Sir Richard Cromwell 1541/2;
conventual buildings were acquired by the Leathersellers' Company 1543;
conventual church now in parochial use as the Parish Church of St Helen, Bishopsgate;
church restored 18th, 19th, 20th century;
damaged by IRA bomb 10 April 1992; restored 1995-7",St Helen,"51°30′53″N 0°04′54″W﻿ / ﻿51.5148°N 0.0818°W﻿ / 51.5148; -0.0818﻿ (London — St Helen's, Bishopsgate)",London
London — St James Monkswell Chantry,"Carthusian monks
house or cell of the Abbot of Garendon;
chantry(?), daughter of Garendon, Leicestershire;founded 1341",,,London
"London, St Mary Spital","Augustinian Canons Regular
conventual hospital or prioryfounded 1197 by Walter Fitz Ealdred land granted by Walter Brunus, citizen of London, and his wife Roisia;granted to Stephen Vaughan who made his home in the precinct","St Mary the Virgin
____________________St Mary Spittle, without Bishopsgate;Domus Dei",,London
"London, St Mary of Bethlehem Friary","Augustinian Canons Regular — Order of Bethlehem
conventual hospital;St Mary of Bethlehem Sistersfounded 1247, land granted by Simon Fitz Mary to Godfrey, bishop of Bethlehem to founded a house of canons, brothers and sisters;
hospital became attached to the founded before 1329;dissolved; hospital but was moved to Moorfields 1675-6 and then to the South side of the Thames in 1814 (see Bethlem Royal Hospital)",The Bethlehem Hospital;Bedlam,"51°31′03″N 0°05′12″W﻿ / ﻿51.5174359°N 0.0867695°W﻿ / 51.5174359; -0.0867695﻿ (London, St Mary of Bethlehem Friary)",London
"London, St Thomas of Acon Hospital","Augustinian Canons Regular
conventual hospital",,,London
"London, Smithfield Blackfriars","Dominican Friars
briefly founded under Queen Mary",,,London
London Whitefriars,"Carmelite Friarsfounded 1247 by Sir Richard Grey;
church built 1253; rebuilt mid-14th centurydissolved 1538; granted to Richard Moresyne and William Butts 1540/1; frater, library and kitchen granted to the King's Armourer; Michael Drayton and Thomas Woodford, nephew of the playwright Thomas Lodge, converted the former refectory for use as The Whitefriars Theatre 1608 (or possibly 1606); theatre closed 1629",,51°30′47″N 0°06′29″W﻿ / ﻿51.5131094°N 0.1080877°W﻿ / 51.5131094; -0.1080877﻿ (London Whitefriars),London
London within Cripplegate (?)Priory,"nuns(?)/conventual hospitalfounded before 1329;
became dilapidated;abandoned 1329; transferred to Elsing",,,London
Merton Priory,"Augustinian Canons Regularfounded 1114 (1117) by Gilbert Norman, Sheriff of Surrey;dissolved 1538;
Merton Abbey Station built on site 19th century;
site now occupied by shopping centre with purpose-built basement from which remains are visible","The Priory Church of Saint Mary, Merton
The Priory Church of Saint Mary of Merton
____________________Merton Abbey St Mary's Priory;St Mary of Merton",51°24′51″N 0°10′55″W﻿ / ﻿51.4142839°N 0.1819181°W﻿ / 51.4142839; -0.1819181﻿ (Merton Priory),London
Moor Hall Preceptory,"Knights Hospitallerfounded apparently c.1176, granted by Beatrice de Bollers, widdow;
apparently became a camera by 1338;dissolved 1338;
chapel demolished 1960",Harefield Preceptory;Harefield Camera;Moor Hall Camera,51°35′21″N 0°29′00″W﻿ / ﻿51.5892462°N 0.4832777°W﻿ / 51.5892462; -0.4832777﻿ (Moor Hall Preceptory),London
Richmond Greyfriars #,"Observant Franciscan Friarsfounded 1499 or 1500;dissolved 1534; probably passed to the Austin Friars;
probably Augustinian Friarsrefounded 1534;dissolved 1536?",Richmond Austin Friars (1534-6)Sheen Friary,51°27′37″N 0°18′28″W﻿ / ﻿51.4603227°N 0.3078921°W﻿ / 51.4603227; -0.3078921﻿ (Richmond Greyfriars),London
